date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:46	682100/682100	---MCZ	200	added ('OK')	text/html	etag:W/%22ad12bb417d1f76619de4d51a701d7108%22	https://www.purnellspropertymaintenance.co.uk/	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/index.html	(from )
21:37:47	310/310	---MCZ	200	added ('OK')	text/plain	etag:W/%221ff-NvnfLjJHoA1L6Zdks/bPMqorqQ4%22	https://www.purnellspropertymaintenance.co.uk/robots.txt		(from )
21:37:47	12618/12618	---M--	200	added ('OK')	image/png	date:Mon,%2004%20May%202026%2020:37:47%20GMT	https://static.wixstatic.com/media/958639_eac49d96e60043048622402af80155a8~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/958639_eac49d96e60043048622402af80155a8~mv2.png	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/958639_eac49d96e60043048622402af80155a8_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/958639_eac49d96e60043048622402af80155a8_mv2.png	(from https://www.purnellspropertymaintenance.co.uk/)
21:37:47	1208/1208	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Apr%202026%2022:24:24%20GMT	https://static.wixstatic.com/media/958639_eac49d96e60043048622402af80155a8~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/958639_eac49d96e60043048622402af80155a8~mv2.png	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/958639_eac49d96e60043048622402af80155a8_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/958639_eac49d96e60043048622402af80155a8_mv2.png	(from https://www.purnellspropertymaintenance.co.uk/)
21:37:48	11323/11323	---M--	200	added ('OK')	image/png	date:Mon,%2004%20May%202026%2020:37:48%20GMT	https://static.wixstatic.com/media/958639_eac49d96e60043048622402af80155a8~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/958639_eac49d96e60043048622402af80155a8~mv2.png	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/958639_eac49d96e60043048622402af80155a8_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/958639_eac49d96e60043048622402af80155a8_mv2.png	(from https://www.purnellspropertymaintenance.co.uk/)
21:37:48	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.purnellspropertymaintenance.co.uk/)
21:37:48	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.purnellspropertymaintenance.co.uk/)
21:37:49	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.purnellspropertymaintenance.co.uk/)
21:37:50	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202026%2020:37:50%20GMT	https://www.purnellspropertymaintenance.co.uk/t	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/t.6.delayed	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:04	23637/23637	---M--	200	added ('OK')	image/png	date:Mon,%2004%20May%202026%2020:38:03%20GMT	https://static.wixstatic.com/media/44ceee_d46293f48f8d46388a6ef396c7ed1016~mv2.png/v1/fill/w_260,h_122,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Purnells%20Property%20Maintenance%20Logo.png	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/44ceee_d46293f48f8d46388a6ef396c7ed1016_mv2.png/v1/fill/w_260,h_122,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Purnells%20Property%20Maintenance%20Logo.png	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:06	624984/624984	---MCZ	200	added ('OK')	text/html	etag:W/%22fae1603dd9d358eff44e0acd98abad0f%22	https://www.purnellspropertymaintenance.co.uk/property-maintenance	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/property-maintenance.html	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:07	625481/625481	---MCZ	200	added ('OK')	text/html	etag:W/%22cdba86ca63015061274e866ab427d15c%22	https://www.purnellspropertymaintenance.co.uk/building-services	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/building-services.html	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:09	625489/625489	---MCZ	200	added ('OK')	text/html	etag:W/%2216bd745d72be086492aa84a05ea39a6b%22	https://www.purnellspropertymaintenance.co.uk/kitchens-and-bathrooms	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/kitchens-and-bathrooms.html	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:09	625488/625488	---MCZ	200	added ('OK')	text/html	etag:W/%22fb3cf5d8cae6355e2f95822d0a38713b%22	https://www.purnellspropertymaintenance.co.uk/carpentry-and-joinery	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/carpentry-and-joinery.html	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:11	629805/629805	---MCZ	200	added ('OK')	text/html	etag:W/%22b7ed12baf8145b67443d51e646327e9e%22	https://www.purnellspropertymaintenance.co.uk/painting-and-decorating	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/painting-and-decorating.html	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:12	624986/624986	---MCZ	200	added ('OK')	text/html	etag:W/%22c2fb69fc69cef4bf2f27fb415f0ecf69%22	https://www.purnellspropertymaintenance.co.uk/roofing-services	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/roofing-services.html	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:13	625010/625010	---MCZ	200	added ('OK')	text/html	etag:W/%22e6f1d96e8a3cc18651f92521381079fc%22	https://www.purnellspropertymaintenance.co.uk/landscaping-and-patios	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/landscaping-and-patios.html	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:14	128899/128899	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20May%202026%2020:38:14%20GMT	https://static.wixstatic.com/media/11062b_d2e7a15d1d644398bc0da877415711e4~mv2.jpg/v1/crop/x_329,y_0,w_3744,h_3744/fill/w_490,h_490,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Home%20Extension%20Construction%20Site.jpg	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/11062b_d2e7a15d1d644398bc0da877415711e4_mv2.jpg/v1/crop/x_329,y_0,w_3744,h_3744/fill/w_490,h_490,al_c,q_80,usm_0.66_1.00_0.01,enc_av/Home%20Extension%20Construction%20Site.jpg	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:15	965844/965844	---MCZ	200	added ('OK')	text/html	etag:W/%22c02c60c6ff3df09cf2913bde79e6bdba%22	https://www.purnellspropertymaintenance.co.uk/contact-us	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/contact-us.html	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:15	22793/22793	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20May%202026%2020:38:15%20GMT	https://static.wixstatic.com/media/11062b_0c1bf243a20c4b3587c988483f8420f5~mv2.jpg/v1/crop/x_362,y_0,w_1446,h_1446/fill/w_212,h_212,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Wooden%20Staircase.jpg	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/11062b_0c1bf243a20c4b3587c988483f8420f5_mv2.jpg/v1/crop/x_362,y_0,w_1446,h_1446/fill/w_212,h_212,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Wooden%20Staircase.jpg	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:15	14474/14474	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20May%202026%2020:38:15%20GMT	https://static.wixstatic.com/media/11062b_aef213a3cfe5481ea3b15a995996db97~mv2.jpg/v1/crop/x_370,y_0,w_3282,h_3282/fill/w_212,h_212,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/a%20bathroom%20in%20the%20attic%20of%20an%20expensive%20new%20home_%20A%20shower%20unit%20sits%20in%20the%20centre%20with%20fi.jpg	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/11062b_aef213a3cfe5481ea3b15a995996db97_mv2.jpg/v1/crop/x_370,y_0,w_3282,h_3282/fill/w_212,h_212,al_c,q_80,usm_0.66_1.00_0.01,enc_av/a%20bathroom%20in%20the%20attic%20of%20an%20expensive%20new%20home_%20A	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:15	1540/1540	---M--	200	added ('OK')	image/webp	date:Mon,%2004%20May%202026%2020:38:15%20GMT	https://static.wixstatic.com/media/44ceee_44832dde9fad4009bf9831f042404617~mv2.jpg/v1/fill/w_309,h_309,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/person%20placeholder%20image.jpg	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/44ceee_44832dde9fad4009bf9831f042404617_mv2.jpg/v1/fill/w_309,h_309,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/person%20placeholder%20image.jpg	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:15	12465/12465	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20May%202026%2020:38:15%20GMT	https://static.wixstatic.com/media/11062b_714cb85cc2194e5bafb5610dd840200e~mv2.jpg/v1/crop/x_1349,y_0,w_3324,h_3322/fill/w_212,h_212,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Man%20painting%20wall%20with%20gray%20color%2C%20using%20small%20paint%20roller.jpg	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/11062b_714cb85cc2194e5bafb5610dd840200e_mv2.jpg/v1/crop/x_1349,y_0,w_3324,h_3322/fill/w_212,h_212,al_c,q_80,usm_0.66_1.00_0.01,enc_av/Man%20painting%20wall%20with%20gray%20color,%20using%20small%20pai	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:15	8617/8617	---M--	200	added ('OK')	image/png	date:Mon,%2004%20May%202026%2020:38:15%20GMT	https://static.wixstatic.com/media/26aa9b_1ce105da62cd4f148781b39f6fccfe67~mv2.png/v1/fill/w_150,h_75,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Review%20us%20on%20Yell_com.png	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/26aa9b_1ce105da62cd4f148781b39f6fccfe67_mv2.png/v1/fill/w_150,h_75,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Review%20us%20on%20Yell_com.png	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:16	23073/23073	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20May%202026%2020:38:15%20GMT	https://static.wixstatic.com/media/44ceee_d4f1b8372204493f96e6ed1104194cbe~mv2.jpg/v1/crop/x_128,y_0,w_768,h_768/fill/w_212,h_212,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/56eade60-a32c-4450-9234-a22ed0db11bb_image_jpeg.jpg	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/44ceee_d4f1b8372204493f96e6ed1104194cbe_mv2.jpg/v1/crop/x_128,y_0,w_768,h_768/fill/w_212,h_212,al_c,q_80,usm_0.66_1.00_0.01,enc_av/56eade60-a32c-4450-9234-a22ed0db11bb_image_jpeg.15.de	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:16	2207/2207	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2004%20May%202026%2020:38:16%20GMT	https://www.purnellspropertymaintenance.co.uk/window.location.href	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/window.location.1a.delayed	(from https://www.purnellspropertymaintenance.co.uk/)
21:38:16	131854/131854	---M-Z	200	added ('OK')	application/javascript	etag:%223dba122fff59f2079b3877b077a5c7c7%22	https://browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	C:/My%20Web%20Sites/Purnells/browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	(from https://www.purnellspropertymaintenance.co.uk/)
